query,correct_agent,difficulty,query_length,mentioned_tickers,has_attachment,attachment_type
Cổ phiếu nào ngành Chemicals đáng mua nhất?,screening,hard,43,0,False,
Fibonacci retracement cho SAB ở mức nào?,technical,medium,40,1,False,
Phân tích toàn diện MSN: cả cơ bản lẫn kỹ thuật,fundamental,hard,47,1,False,
Volume profile SSI cho thấy vùng giá nào quan trọng?,technical,easy,52,1,False,
Vùng hỗ trợ kháng cự của GAS ở đâu?,technical,easy,35,1,False,
So sánh ROE của VHM qua các quý gần đây,fundamental,easy,39,1,True,pdf
Xem báo cáo kết quả kinh doanh của KDH,fundamental,easy,38,1,False,
"STB vừa ra báo cáo tốt, chart có ủng hộ mua không?",fundamental,hard,50,1,False,
Top cổ phiếu tăng giá mạnh nhất tháng qua,screening,hard,41,0,False,
EMA 3 ngày của HDB trending up hay down?,technical,easy,40,1,False,
Lọc top 5 cổ phiếu có EPS tốt nhất sàn HOSE,screening,easy,43,0,False,
Xu hướng giá PLX trong 200 tháng gần đây,technical,easy,40,1,False,
Filter cổ phiếu market cap trên 5 nghìn tỷ,screening,hard,42,0,False,
Debt/Equity của KDH so với ngành Retail như thế nào?,fundamental,easy,52,1,True,xlsx
Tỷ lệ Net Margin tăng trưởng của BID trong 50 năm qua,fundamental,medium,53,1,False,
Tìm cổ phiếu ngành Industrials có ROE trên 100%,screening,easy,47,0,False,
Income statement NVL cho thấy xu hướng gì?,fundamental,medium,42,1,False,
Chỉ số Net Margin của CTG hiện tại là bao nhiêu?,fundamental,medium,48,1,True,
Xem báo cáo kết quả kinh doanh của PNJ,fundamental,medium,38,1,False,
Điểm entry mua VHM theo phân tích kỹ thuật,technical,medium,42,1,False,
"TCB PE thấp nhưng RSI cao, nên xử lý thế nào?",fundamental,hard,45,1,False,
EMA 200 ngày của STB trending up hay down?,technical,medium,42,1,False,
Tìm cổ phiếu penny stock tiềm năng tăng giá,screening,hard,43,0,False,
So sánh EPS của VPB qua các quý gần đây,fundamental,medium,39,1,False,
Biểu đồ nến VHM tuần này có mẫu hình gì?,technical,easy,40,1,False,
Net Margin của MSN so với ngành Industrials như thế nào?,fundamental,medium,56,1,True,pdf
RSI của VHM đang ở vùng quá mua hay quá bán?,technical,medium,44,1,False,
Doanh thu và lợi nhuận ròng của SSI quý vừa rồi,fundamental,hard,47,1,False,
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
So sánh VJC và FPT - mã nào tốt hơn?,screening,medium,36,2,False,
Income statement PLX cho thấy xu hướng gì?,fundamental,hard,42,1,True,
HDB có đang bị định giá cao không? Xét P/E,fundamental,easy,42,1,False,
"TCB vừa ra báo cáo tốt, chart có ủng hộ mua không?",fundamental,hard,50,1,False,
Sàng lọc cổ phiếu theo tiêu chí value investing,screening,easy,47,0,True,pdf
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
Debt/Equity của MWG so với ngành Real Estate như thế nào?,fundamental,hard,57,1,False,
Phân tích báo cáo tài chính quý 3 của SAB,fundamental,medium,41,1,True,csv
Khối lượng giao dịch DGC có tăng đột biến?,technical,hard,42,1,False,
Lọc top 200 cổ phiếu có Revenue Growth tốt nhất sàn HOSE,screening,medium,56,0,False,
So sánh BID và POW - mã nào tốt hơn?,screening,medium,36,2,False,
"BID PE thấp nhưng RSI cao, nên xử lý thế nào?",fundamental,hard,45,1,False,
Những mã nào ngành Retail có PE thấp nhất?,screening,hard,42,0,False,
Net Margin của MWG so với ngành Chemicals như thế nào?,fundamental,hard,54,1,False,
Gợi ý 12 cổ phiếu tốt nhất để đầu tư dài hạn,screening,medium,44,0,False,
"HDB PE thấp nhưng RSI cao, nên xử lý thế nào?",fundamental,hard,45,1,True,
Cổ phiếu nào ngành Industrials đáng mua nhất?,screening,medium,45,0,False,
Volume profile VIC cho thấy vùng giá nào quan trọng?,technical,medium,52,1,False,
Cổ phiếu nào ngành Materials/Rubber đáng mua nhất?,screening,medium,50,0,False,
"TCB vừa ra báo cáo tốt, chart có ủng hộ mua không?",fundamental,hard,50,1,False,
CTG có đang breakout khỏi vùng tích lũy không?,technical,hard,46,1,True,xlsx
Volume profile VIC cho thấy vùng giá nào quan trọng?,technical,medium,52,1,False,
Điểm entry mua VIC theo phân tích kỹ thuật,technical,hard,42,1,False,
Income statement GVR cho thấy xu hướng gì?,fundamental,easy,42,1,False,
EPS của VCB so với ngành Financial Services như thế nào?,fundamental,medium,56,1,False,
Volume profile VCB cho thấy vùng giá nào quan trọng?,technical,medium,52,1,False,
Danh sách cổ phiếu có cổ tức cao nhất năm nay,screening,easy,45,0,True,pdf
VRE có đang breakout khỏi vùng tích lũy không?,technical,medium,46,1,False,
Bollinger Bands của HPG đang co hẹp hay mở rộng?,technical,medium,48,1,False,
Cổ phiếu nào ngành Consumer Staples đáng mua nhất?,screening,hard,50,0,False,
Filter cổ phiếu market cap trên 3 nghìn tỷ,screening,medium,42,0,False,
Phân tích chart pattern POW - double top/bottom?,technical,medium,48,1,False,
Xem báo cáo kết quả kinh doanh của VRE,fundamental,medium,38,1,False,
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
Stochastic oscillator của TPB cho tín hiệu gì?,technical,easy,46,1,False,
EMA 10 ngày của CTG trending up hay down?,technical,medium,41,1,False,
Cash flow từ hoạt động kinh doanh của NVL ra sao?,fundamental,hard,49,1,False,
Tìm mã ngành Consumer Staples có fundamental tốt nhất để phân tích sâu,screening,hard,70,0,False,
Tìm mã ngành Retail có fundamental tốt nhất để phân tích sâu,screening,hard,60,0,False,
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
Tìm mã ngành Banking có fundamental tốt nhất để phân tích sâu,screening,hard,61,0,False,
Fibonacci retracement cho VRE ở mức nào?,technical,medium,40,1,False,
Lọc cổ phiếu giá trị rồi phân tích báo cáo tài chính từng mã,screening,hard,60,0,False,
Top cổ phiếu tăng giá mạnh nhất tháng qua,screening,easy,41,0,False,
ACB có nợ nhiều không? Debt to equity bao nhiêu?,fundamental,easy,48,1,False,
Xem báo cáo kết quả kinh doanh của BID,fundamental,easy,38,1,False,
Xem báo cáo kết quả kinh doanh của PNJ,fundamental,hard,38,1,False,
Tỷ suất cổ tức dividend yield của SAB có hấp dẫn không?,fundamental,medium,55,1,False,
So sánh Debt/Equity của PLX qua các quý gần đây,fundamental,hard,47,1,False,
RSI của SSI đang ở vùng quá mua hay quá bán?,technical,easy,44,1,False,
"VIC vừa ra báo cáo tốt, chart có ủng hộ mua không?",fundamental,hard,50,1,False,
Cash flow từ hoạt động kinh doanh của STB ra sao?,fundamental,medium,49,1,False,
Biểu đồ nến GVR tuần này có mẫu hình gì?,technical,easy,40,1,False,
Recommend cổ phiếu phù hợp cho người mới,screening,easy,40,0,False,
